uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,geneticSampleID,geneticSampleCode,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"c0c2de37-71f4-4663-b226-40d129fa3a69","D05","LIRO","LIRO.AOS.buoy.c0",45.998322,-89.704766,10.0,"WGS84",502.0,10.0,"lake","2020-07-20T16:49Z","LIRO.20200720",2,"LIRO.20200720.PONAR.1","A00000203501",,,"NEON.DOC.003046vE",,"OK - no known exceptions","pelagic","petitePonar",1,,0.023,9.8,,,,,,"0000-0003-1075-1249","0000-0001-6438-3109",
"e7752af1-3506-440d-85d9-808b70bd30d0","D05","LIRO","LIRO.AOS.riparian.point.03",45.996377,-89.704103,0.2,"WGS84",498.6,0.3,"lake","2020-07-20T16:49Z","LIRO.20200720",2,"LIRO.20200720.BENTHICSWEEP.3","A00000203494","LIRO.20200720.BENTHICSWEEP.3.DNA","A00000203495","NEON.DOC.003046vE",,"OK - no known exceptions","littoral","benthicSweep",3,,0.305,,,,,,,"0000-0003-1075-1249","0000-0001-6438-3109",
"8a43a6aa-bcb2-4fc7-b4e9-6094c4f12d7f","D05","LIRO","LIRO.AOS.littoral2",46.000609,-89.704078,1.1,"WGS84",495.9,1.0,"lake","2020-07-20T16:49Z","LIRO.20200720",2,"LIRO.20200720.PONAR.3","A00000203489",,,"NEON.DOC.003046vE",,"OK - no known exceptions","pelagic","petitePonar",3,,0.023,1.5,,,,,,"0000-0003-1075-1249","0000-0001-6438-3109",
"68c42170-d77b-4781-905b-d26fba89e81f","D05","LIRO","LIRO.AOS.riparian.point.01",46.000768,-89.704041,0.2,"WGS84",496.0,0.3,"lake","2020-07-20T16:49Z","LIRO.20200720",2,"LIRO.20200720.BENTHICSWEEP.1","A00000203497",,,"NEON.DOC.003046vE",,"OK - no known exceptions","littoral","benthicSweep",1,,0.305,,,,,,,"0000-0003-1075-1249","0000-0001-6438-3109",
"d3930dfe-7864-44bd-9f70-1c341505529e","D05","LIRO","LIRO.AOS.riparian.point.09",45.997072,-89.705716,0.2,"WGS84",500.2,0.2,"lake","2020-07-20T16:49Z","LIRO.20200720",2,"LIRO.20200720.BENTHICSWEEP.9","A00000203496",,,"NEON.DOC.003046vE",,"OK - no known exceptions","littoral","benthicSweep",9,,0.305,,,,,,,"0000-0003-1075-1249","0000-0001-6438-3109",
"29d0f24c-08c9-4d6e-8c5e-d3622ccb65cb","D05","LIRO","LIRO.AOS.riparian.point.05",45.995340,-89.698224,0.2,"WGS84",501.7,0.2,"lake","2020-07-20T16:49Z","LIRO.20200720",2,"LIRO.20200720.BENTHICSWEEP.5","A00000203492","LIRO.20200720.BENTHICSWEEP.5.DNA","A00000203493","NEON.DOC.003046vE",,"OK - no known exceptions","littoral","benthicSweep",5,,0.305,,,,,,,"0000-0003-1075-1249","0000-0001-6438-3109",
"34ea9d50-9e21-4276-8039-957efccb410b","D05","LIRO","LIRO.AOS.littoral1",45.995205,-89.706502,1.1,"WGS84",496.5,1.0,"lake","2020-07-20T16:49Z","LIRO.20200720",2,"LIRO.20200720.PONAR.2","A00000078708",,,"NEON.DOC.003046vE",,"OK - no known exceptions","pelagic","petitePonar",2,,0.023,1.6,,,,,,"0000-0003-1075-1249","0000-0001-6438-3109",
"ded8cd87-e2f6-438b-8ab0-fa7750f2d564","D05","LIRO","LIRO.AOS.riparian.point.07",45.995426,-89.704281,0.3,"WGS84",496.3,0.5,"lake","2020-07-20T16:49Z","LIRO.20200720",2,"LIRO.20200720.BENTHICSWEEP.7","A00000203490","LIRO.20200720.BENTHICSWEEP.7.DNA","A00000203491","NEON.DOC.003046vE",,"OK - no known exceptions","littoral","benthicSweep",7,,0.305,,,,,,,"0000-0003-1075-1249","0000-0001-6438-3109",
