reach_id,pass,total_fish
ARIK.20160412.01,1,4
ARIK.20160412.01,2,2
ARIK.20160412.01,3,4
ARIK.20160412.03,1,17
ARIK.20160413.04,1,41
ARIK.20160413.06,1,26
ARIK.20160413.06,2,10
ARIK.20160413.06,3,18
ARIK.20160413.07,1,6
ARIK.20160414.09,1,47
ARIK.20160414.09,2,29
ARIK.20160414.09,3,19
ARIK.20161011.01,1,15
ARIK.20161011.01,2,10
ARIK.20161011.01,3,11
ARIK.20161011.03,1,56
ARIK.20161011.06,1,54
ARIK.20161011.06,2,40
ARIK.20161011.06,3,14
ARIK.20161012.07,1,84
ARIK.20161012.09,1,19
ARIK.20161012.09,2,27
ARIK.20161012.09,3,28
ARIK.20170410.01,1,15
ARIK.20170410.01,2,7
ARIK.20170410.01,3,6
ARIK.20170410.02,1,29
ARIK.20170410.05,1,22
ARIK.20170411.06,1,99
ARIK.20170411.06,2,67
ARIK.20170411.06,3,57
ARIK.20170411.10,1,76
ARIK.20170412.09,1,82
ARIK.20170412.09,2,24
ARIK.20170412.09,3,22
ARIK.20171017.01,1,78
ARIK.20171017.01,2,30
ARIK.20171017.01,3,40
ARIK.20171017.02,1,265
ARIK.20171017.05,1,23
ARIK.20171018.06,1,82
ARIK.20171018.06,2,52
ARIK.20171018.06,3,55
ARIK.20171018.10,1,54
ARIK.20171019.09,1,81
ARIK.20171019.09,2,47
ARIK.20171019.09,3,13
ARIK.20180402.01,1,66
ARIK.20180402.01,2,44
ARIK.20180402.01,3,32
ARIK.20180402.04,1,59
ARIK.20180403.04,1,75
ARIK.20180403.06,1,48
ARIK.20180403.06,2,44
ARIK.20180403.06,3,19
ARIK.20180404.08,1,15
ARIK.20180404.09,1,71
ARIK.20180404.09,2,43
ARIK.20180404.09,3,20
ARIK.20181015.01,1,251
ARIK.20181015.01,2,202
ARIK.20181015.01,3,141
ARIK.20181017.06,1,29
ARIK.20181017.06,2,13
ARIK.20181017.06,3,159
ARIK.20181017.08,1,160
ARIK.20181018.09,1,208
ARIK.20181018.09,2,159
ARIK.20181018.09,3,155
ARIK.20190409.01,1,44
ARIK.20190409.01,2,29
ARIK.20190409.01,3,23
ARIK.20190409.02,1,26
ARIK.20190409.05,1,59
ARIK.20190409.07,1,59
ARIK.20190410.06,1,100
ARIK.20190410.06,2,71
ARIK.20190410.06,3,32
ARIK.20190410.09,1,107
ARIK.20191014.01,1,168
ARIK.20191014.01,2,222
ARIK.20191014.01,3,139
ARIK.20191015.02,1,343
ARIK.20191015.05,1,58
ARIK.20191015.06,1,211
ARIK.20191015.06,2,184
ARIK.20191015.06,3,130
ARIK.20191016.07,1,320
ARIK.20191016.09,1,318
ARIK.20191016.09,2,260
ARIK.20191016.09,3,147
ARIK.20210405.01,1,4
ARIK.20210405.01,3,8
ARIK.20210405.02,1,5
ARIK.20210406.05,1,1
ARIK.20210406.06,1,2
ARIK.20210406.06,2,3
ARIK.20210406.06,3,5
ARIK.20210407.08,1,4
ARIK.20210408.09,1,7
