uid,domainID,siteID,namedLocation,aquaticSiteType,decimalLatitude,decimalLongitude,coordinateUncertainty,elevation,elevationUncertainty,geodeticDatum,startDate,endDate,reachID,samplingProtocolVersion,samplingImpractical,reachCondition,measuredReachLength,fixedRandomReach,identifiedBy,aCollectedBy,bCollectedBy,cCollectedBy,remarks
"bf38ed4d-b9e7-435a-a192-d93d51f07057","D07","WALK","WALK.AOS.fish.point.01","stream",35.953826,-84.276366,0.1,247.1,0.2,"WGS84","2019-03-19","2019-03-19","WALK.20190319.01","NEON.DOC.001295vD",,"normal flow",114.0,"fixed","0000-0003-3518-7795","0000-0002-6187-2510","0000-0001-8869-8172","0000-0001-8869-8172",
"ffa6bd8d-4fae-4ac4-b6f7-852ce60504f3","D07","WALK","WALK.AOS.fish.point.03","stream",35.954799,-84.277926,0.3,255.9,0.6,"WGS84","2019-03-20","2019-03-20","WALK.20190320.03","NEON.DOC.001295vD",,"normal flow",87.0,"fixed","0000-0003-3518-7795","0000-0002-6187-2510","0000-0001-8869-8172","0000-0001-8869-8172",
"c642e934-d125-4958-86cf-9f2c778331a7","D07","WALK","WALK.AOS.fish.point.05","stream",35.956182,-84.278768,0.7,275.2,2.9,"WGS84","2019-03-20","2019-03-20","WALK.20190320.05","NEON.DOC.001295vD",,"normal flow",111.0,"fixed","0000-0003-3518-7795","0000-0002-6187-2510","0000-0001-8869-8172","0000-0001-8869-8172",
"93dc21c9-f6da-41ec-b323-3f8172a80608","D07","WALK","WALK.AOS.fish.point.10","stream",35.960630,-84.281757,0.9,288.7,1.5,"WGS84","2019-03-21","2019-03-21","WALK.20190321.10","NEON.DOC.001295vD",,"normal flow",71.0,"random","0000-0003-3518-7795","0000-0002-6187-2510","0000-0001-8869-8172","0000-0001-8869-8172",
"727e6de1-bebf-4df2-9628-c06ea0b5d266","D07","WALK","WALK.AOS.fish.point.07","stream",35.958883,-84.279818,0.3,277.4,0.4,"WGS84","2019-03-21","2019-03-21","WALK.20190321.07","NEON.DOC.001295vD",,"normal flow",81.0,"random","0000-0003-3518-7795","0000-0002-6187-2510","0000-0001-8869-8172","0000-0001-8869-8172",
"8547f29b-3614-4815-a46e-0d0976099fea","D07","WALK","WALK.AOS.fish.point.09","stream",35.960188,-84.281162,0.3,288.9,0.3,"WGS84","2019-03-21","2019-03-21","WALK.20190321.09","NEON.DOC.001295vD",,"normal flow",83.0,"random","0000-0003-3518-7795","0000-0002-6187-2510","0000-0001-8869-8172","0000-0001-8869-8172",
