uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,sampleCondition,geneticSampleID,geneticSampleCode,geneticSampleCond,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"8913559a-a7f5-49bf-80f3-9ddc01857b27","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-04T14:56Z","COMO.20210804",2,"COMO.20210804.KICKNET.3","A00000248360",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","run","modifiedKicknet",3,"sand",0.250,,,,,,,"0000-0002-4194-7642","0000-0002-6351-2586",
"67ca3390-a3ab-49bd-9667-23d8aacb5012","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-04T14:56Z","COMO.20210804",2,"COMO.20210804.KICKNET.2","A00000248361",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","run","modifiedKicknet",2,"sand",0.250,,,,,,,"0000-0002-4194-7642","0000-0002-6351-2586",
"f851a48b-562e-4cb9-826d-f1f9f18385f4","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-04T14:56Z","COMO.20210804",2,"COMO.20210804.SURBER.4","A00000248378",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",4,"cobble",0.093,,,,,,,"0000-0002-4194-7642","0000-0002-6351-2586",
"ff5690b0-00d8-44b5-a6c5-edcf7ae327d8","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-04T14:56Z","COMO.20210804",2,"COMO.20210804.SURBER.3","A00000248379",,"COMO.20210804.SURBER.3.DNA","A00000248351",,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",3,"cobble",0.093,,,,,,,"0000-0002-4194-7642","0000-0002-6351-2586",
"27324525-a818-4a0b-8011-fb8021fdaa78","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-04T14:56Z","COMO.20210804",2,"COMO.20210804.SURBER.2","A00000248363",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",2,"cobble",0.093,,,,,,,"0000-0002-4194-7642","0000-0002-6351-2586",
"ab958c4e-9635-4e42-8ea0-65e686c9d5a7","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-04T14:56Z","COMO.20210804",2,"COMO.20210804.SURBER.1","A00000248364",,"COMO.20210804.SURBER.1.DNA","A00000248359",,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",1,"cobble",0.093,,,,,,,"0000-0002-4194-7642","0000-0002-6351-2586",
"d8e61cb8-7e78-44b9-905a-242135a70b2d","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-04T14:56Z","COMO.20210804",2,"COMO.20210804.KICKNET.1","A00000248362",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","run","modifiedKicknet",1,"sand",0.250,,,,,,,"0000-0002-4194-7642","0000-0002-6351-2586",
"8b67f354-5eb1-41f0-a37d-17c3595f9aae","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-04T14:56Z","COMO.20210804",2,"COMO.20210804.SURBER.5","A00000248377",,"COMO.20210804.SURBER.5.DNA","A00000248352",,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",5,"cobble",0.093,,,,,,,"0000-0002-4194-7642","0000-0002-6351-2586",
"8c796a41-752d-4c1f-9bd4-c73385ef3a04","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-30T16:34Z","COMO.20210830",3,"COMO.20210830.SURBER.4","A00000249180",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",4,"cobble",0.093,,,,,,,"0000-0002-0857-6747","0000-0002-6351-2586",
"7c9e15fe-a5cc-45db-9269-d1187e1b90c7","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-30T16:34Z","COMO.20210830",3,"COMO.20210830.SURBER.2","A00000249148",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",2,"cobble",0.093,,,,,,,"0000-0002-0857-6747","0000-0002-6351-2586",
"6dbb2b07-bcf2-450e-8185-572a76722ee3","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-30T16:34Z","COMO.20210830",3,"COMO.20210830.SURBER.1","A00000249099",,"COMO.20210830.SURBER.1.ARC","A00000249176",,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",1,"cobble",0.093,,,,,,,"0000-0002-0857-6747","0000-0002-6351-2586",
"e1a64990-8e8a-4cc4-9117-dca9176b7efc","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-30T16:34Z","COMO.20210830",3,"COMO.20210830.KICKNET.2","A00000249147",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","run","modifiedKicknet",2,"sand",0.250,,,,,,,"0000-0002-0857-6747","0000-0002-6351-2586",
"2fd5a049-c97a-410a-84cb-4e7162a8f1e0","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-30T16:34Z","COMO.20210830",3,"COMO.20210830.SURBER.3","A00000249164",,"COMO.20210830.SURBER.3.ARC","A00000249177",,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",3,"cobble",0.093,,,,,,,"0000-0002-0857-6747","0000-0002-6351-2586",
"584a86fd-fb02-45da-95df-f68f5e04d364","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-30T16:34Z","COMO.20210830",3,"COMO.20210830.SURBER.5","A00000249115",,"COMO.20210830.SURBER.5.ARC","A00000249178",,"NEON.DOC.003046vE",,"OK - no known exceptions","riffle","surber",5,"cobble",0.093,,,,,,,"0000-0002-0857-6747","0000-0002-6351-2586",
"cb947ff5-e38c-4ca8-9365-c6ffb8d67121","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-30T16:34Z","COMO.20210830",3,"COMO.20210830.KICKNET.3","A00000249163",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","run","modifiedKicknet",3,"sand",0.250,,,,,,,"0000-0002-0857-6747","0000-0002-6351-2586",
"b523ecb7-5032-41af-b9db-1adf4424877d","D13","COMO","COMO.AOS.reach",40.034962,-105.544164,1000.0,"WGS84",3021.6,1000.0,"stream","2021-08-30T16:34Z","COMO.20210830",3,"COMO.20210830.KICKNET.1","A00000249167",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","run","modifiedKicknet",1,"sand",0.250,,,,,,,"0000-0002-0857-6747","0000-0002-6351-2586",
