uid,domainID,siteID,namedLocation,collectDate,sortDate,qcSortDate,sampleID,sampleCode,mixedInvertVialID,mixedInvertVialCode,chironomidVialID,chironomidVialCode,oligochaeteVialID,oligochaeteVialCode,largeInvertVialID,largeInvertVialCode,testProtocolVersion,primaryMatrix,preRinseVolume,postRinseVolume,subsamplePercent,qcSortingEfficacy,qcIterationCount,qcPercentSimilarity,laboratoryName,sortedBy,qcSortedBy,benchRemarks,dataQF,qcEnumerationDifference,qcTaxonomicDifference
"01901acb-b721-4260-aff3-6793b1f7fedb","D06","MCDI","MCDI.AOS.reach","2017-03-28T17:20Z","2017-05-08",,"MCDI.20170328.SURBER.4",,"MCDI.20170328.SURBER.4",,,,,,,,"GEI_Macroinvertebrate_Identification_Revision5","other (specified in remarks)",,,30.0,,,100.0,"GEI Consultants Inc.","6kOCykFxcpQ=",,"fine/coarse organic; Jars leaking upon arrival","legacyData",,
"1f866110-50a5-4a02-9771-ac475a87d52c","D06","MCDI","MCDI.AOS.reach","2017-03-28T17:20Z","2017-05-09",,"MCDI.20170328.SURBER.5",,"MCDI.20170328.SURBER.5",,,,,,,,"GEI_Macroinvertebrate_Identification_Revision5","other (specified in remarks)",,,20.0,,,,"GEI Consultants Inc.","6kOCykFxcpQ=",,"fine/coarse organic; Jars leaking upon arrival","legacyData",,
"add3bd44-c11e-4b37-8445-89c90410cf4f","D06","MCDI","MCDI.AOS.reach","2017-03-28T17:20Z","2017-05-03",,"MCDI.20170328.SURBER.1",,"MCDI.20170328.SURBER.1",,,,,,,,"GEI_Macroinvertebrate_Identification_Revision5","other (specified in remarks)",,,20.0,,,,"GEI Consultants Inc.","6kOCykFxcpQ=",,"fine/coarse organic; Jars leaking upon arrival","legacyData",,
"c87769f1-5d06-4a41-b264-d0050b2592d1","D06","MCDI","MCDI.AOS.reach","2017-03-28T17:20Z","2017-05-04","2017-05-10","MCDI.20170328.SURBER.3",,"MCDI.20170328.SURBER.3",,,,,,,,"GEI_Macroinvertebrate_Identification_Revision5","fine organic",,,20.0,95.2,1,,"GEI Consultants Inc.","6kOCykFxcpQ=","7Z/XjqOPqx8=","Jars leaking upon arrival","legacyData",,
"109ebc30-7a64-43eb-bbf2-2f79401f00f9","D06","MCDI","MCDI.AOS.reach","2017-03-28T17:20Z","2017-05-04",,"MCDI.20170328.SURBER.2",,"MCDI.20170328.SURBER.2",,,,,,,,"GEI_Macroinvertebrate_Identification_Revision5","coarse organic",,,10.0,,,,"GEI Consultants Inc.","6kOCykFxcpQ=",,"Jars leaking upon arrival","legacyData",,
