uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,sampleCondition,geneticSampleID,geneticSampleCode,geneticSampleCond,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"f7e4fb4f-b2e5-44e6-83f1-179a2cb8a5f9","D19","CARI","CARI.AOS.reach",65.153224,-147.503973,10.0,"WGS84",224.9,10.0,"stream","2022-05-19T19:13Z","CARI.20220519",1,"CARI.20220519.KICKNET.5","A00000103090","OK","CARI.20220519.KICKNET.5.ARC","A00000310468","OK","NEON.DOC.003046vF",,"OK - no known exceptions","run","modifiedKicknet",5,"cobble",0.250,,,,,,,"0000-0002-1957-1589","0000-0002-5597-3817",
"5d4d2110-7188-4136-8ca1-606bfce94507","D19","CARI","CARI.AOS.reach",65.153224,-147.503973,10.0,"WGS84",224.9,10.0,"stream","2022-05-19T19:13Z","CARI.20220519",1,"CARI.20220519.KICKNET.4","A00000103091","OK",,,,"NEON.DOC.003046vF",,"OK - no known exceptions","run","modifiedKicknet",4,"pebble",0.250,,,,,,,"0000-0002-1957-1589","0000-0002-5597-3817",
"e3354f0d-0663-4b45-9b94-86e6d6d674a7","D19","CARI","CARI.AOS.reach",65.153224,-147.503973,10.0,"WGS84",224.9,10.0,"stream","2022-05-19T19:13Z","CARI.20220519",1,"CARI.20220519.KICKNET.1","A00000310484","OK","CARI.20220519.KICKNET.1.ARC","A00000310470","OK","NEON.DOC.003046vF",,"OK - no known exceptions","run","modifiedKicknet",1,"pebble",0.250,,,,,,,"0000-0002-1957-1589","0000-0002-5597-3817",
"5a571bf1-46fd-4f97-ae0c-0007fb7a165f","D19","CARI","CARI.AOS.reach",65.153224,-147.503973,10.0,"WGS84",224.9,10.0,"stream","2022-05-19T19:13Z","CARI.20220519",1,"CARI.20220519.SURBER.2","A00000103094","OK",,,,"NEON.DOC.003046vF",,"OK - no known exceptions","riffle","surber",2,"cobble",0.093,,,,,,,"0000-0002-1957-1589","0000-0002-5597-3817",
"242261cd-c1a6-4c2f-be10-1df06dfc41c2","D19","CARI","CARI.AOS.reach",65.153224,-147.503973,10.0,"WGS84",224.9,10.0,"stream","2022-05-19T19:13Z","CARI.20220519",1,"CARI.20220519.KICKNET.3","A00000103092","OK","CARI.20220519.KICKNET.3.ARC","A00000310469","OK","NEON.DOC.003046vF",,"OK - no known exceptions","run","modifiedKicknet",3,"cobble",0.250,,,,,,,"0000-0002-1957-1589","0000-0002-5597-3817",
"e910a9ad-6f64-4730-94f9-68f383d3597f","D19","CARI","CARI.AOS.reach",65.153224,-147.503973,10.0,"WGS84",224.9,10.0,"stream","2022-05-19T19:13Z","CARI.20220519",1,"CARI.20220519.SURBER.1","A00000310486","OK",,,,"NEON.DOC.003046vF",,"OK - no known exceptions","riffle","surber",1,"cobble",0.093,,,,,,,"0000-0002-1957-1589","0000-0002-5597-3817",
"cff96967-8038-4d34-ac24-a9b1996b448c","D19","CARI","CARI.AOS.reach",65.153224,-147.503973,10.0,"WGS84",224.9,10.0,"stream","2022-05-19T19:13Z","CARI.20220519",1,"CARI.20220519.SURBER.3","A00000103093","OK",,,,"NEON.DOC.003046vF",,"OK - no known exceptions","riffle","surber",3,"cobble",0.093,,,,,,,"0000-0002-1957-1589","0000-0002-5597-3817",
"1b8e9819-1614-4a9e-b772-74da431e3801","D19","CARI","CARI.AOS.reach",65.153224,-147.503973,10.0,"WGS84",224.9,10.0,"stream","2022-05-19T19:13Z","CARI.20220519",1,"CARI.20220519.KICKNET.2","A00000310485","OK",,,,"NEON.DOC.003046vF",,"OK - no known exceptions","run","modifiedKicknet",2,"cobble",0.250,,,,,,,"0000-0002-1957-1589","0000-0002-5597-3817",
