uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,geneticSampleID,geneticSampleCode,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"72dfdbb3-e78b-42c3-9d01-9cd0f9d04aad","D17","BIGC","BIGC.AOS.reach",37.059719,-119.257549,1000.0,"WGS84",1197.0,1000.0,"stream","2020-10-13T14:00Z","BIGC.20201013",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","run",,3,,,,,,,,"COVID19","0000-0001-7332-328X",,
"f901b320-c37f-41e9-a3f9-2e242b682f41","D17","BIGC","BIGC.AOS.reach",37.059719,-119.257549,1000.0,"WGS84",1197.0,1000.0,"stream","2020-10-13T14:00Z","BIGC.20201013",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","riffle",,8,,,,,,,,"COVID19","0000-0001-7332-328X",,
"ad9a3474-bc7e-4f8c-adb1-a053c4187651","D17","BIGC","BIGC.AOS.reach",37.059719,-119.257549,1000.0,"WGS84",1197.0,1000.0,"stream","2020-10-13T14:00Z","BIGC.20201013",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","run",,1,,,,,,,,"COVID19","0000-0001-7332-328X",,
"7653cb79-4820-4b50-acb8-20c52261fd73","D17","BIGC","BIGC.AOS.reach",37.059719,-119.257549,1000.0,"WGS84",1197.0,1000.0,"stream","2020-10-13T14:00Z","BIGC.20201013",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","run",,5,,,,,,,,"COVID19","0000-0001-7332-328X",,
"e79c7acb-c572-49c3-a70c-094c426944b0","D17","BIGC","BIGC.AOS.reach",37.059719,-119.257549,1000.0,"WGS84",1197.0,1000.0,"stream","2020-10-13T14:00Z","BIGC.20201013",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","riffle",,6,,,,,,,,"COVID19","0000-0001-7332-328X",,
"0970effa-6b2b-4aaa-9c41-ff3c34ecaff8","D17","BIGC","BIGC.AOS.reach",37.059719,-119.257549,1000.0,"WGS84",1197.0,1000.0,"stream","2020-10-13T14:00Z","BIGC.20201013",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","run",,2,,,,,,,,"COVID19","0000-0001-7332-328X",,
"375ebbc6-40fc-4773-876d-fb2fef060401","D17","BIGC","BIGC.AOS.reach",37.059719,-119.257549,1000.0,"WGS84",1197.0,1000.0,"stream","2020-10-13T14:00Z","BIGC.20201013",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","run",,4,,,,,,,,"COVID19","0000-0001-7332-328X",,
"c9906caa-e82e-42c9-a445-8473837f1f59","D17","BIGC","BIGC.AOS.reach",37.059719,-119.257549,1000.0,"WGS84",1197.0,1000.0,"stream","2020-10-13T14:00Z","BIGC.20201013",3,,,,,"NEON.DOC.003046vE","logistical","unknown - logistical","riffle",,7,,,,,,,,"COVID19","0000-0001-7332-328X",,
