uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"fe86b218-d718-4c17-b744-1a323626bd5d","D15","REDB","REDB","2016-06-02T18:00Z",,20,1.90,"start time: 13:50; end time: 15:17"
"fccdcc0e-80b4-4bc2-ba8f-393e342e8780","D15","REDB","REDB","2016-06-02T18:00Z",,5,2.19,"start time: 13:50; end time: 15:17"
"f3affa03-6d55-4feb-900e-3233381cb420","D15","REDB","REDB","2016-06-02T18:00Z",,18,1.82,"start time: 13:50; end time: 15:17"
"1b5eb0fe-81e6-42ba-9d22-14e542d9c9d8","D15","REDB","REDB","2016-06-02T18:00Z",,7,2.55,"start time: 13:50; end time: 15:17"
"a823d079-c2e9-4d6a-a732-094de8ee818f","D15","REDB","REDB","2016-06-02T18:00Z",,14,3.04,"start time: 13:50; end time: 15:17"
"13fe586d-98a1-48b1-8486-0841bc1470b9","D15","REDB","REDB","2016-06-02T18:00Z",,2,2.49,"start time: 13:50; end time: 15:17"
"6c27cab9-9532-4b4f-b6d3-b1c956d73cfe","D15","REDB","REDB","2016-06-02T18:00Z",,10,3.20,"start time: 13:50; end time: 15:17"
"c28edf53-4511-41cb-a5d4-495d4791cc94","D15","REDB","REDB","2016-06-02T18:00Z",,30,2.56,"start time: 13:50; end time: 15:17"
"a9231c97-3a11-4773-9ac1-9c63b19903ba","D15","REDB","REDB","2016-06-02T18:00Z",,28,3.92,"start time: 13:50; end time: 15:17"
"b582f543-bdc2-458b-8b49-800e732f5eb6","D15","REDB","REDB","2016-06-02T18:00Z",,27,6.64,"start time: 13:50; end time: 15:17"
"20f2c13d-0e3d-42b2-b915-95b399730c23","D15","REDB","REDB","2016-06-02T18:00Z",,15,2.45,"start time: 13:50; end time: 15:17"
"bfc37330-8edf-457c-9f52-fd96738943a9","D15","REDB","REDB","2016-06-02T18:00Z",,25,2.30,"start time: 13:50; end time: 15:17"
"4a06b547-9da3-4d43-9e40-6ed9cc10e872","D15","REDB","REDB","2016-06-02T18:00Z",,3,2.03,"start time: 13:50; end time: 15:17"
"e1fd8040-6a5c-4b38-894f-25d7c9375db7","D15","REDB","REDB","2016-06-02T18:00Z",,13,2.68,"start time: 13:50; end time: 15:17"
"8812dafd-b0cb-4db5-968a-9298e8096348","D15","REDB","REDB","2016-06-02T18:00Z",,24,5.83,"start time: 13:50; end time: 15:17"
"df7ff196-edbc-48bf-8e64-de59d1f78215","D15","REDB","REDB","2016-06-02T18:00Z",,6,2.49,"start time: 13:50; end time: 15:17"
"752c45f1-ea6f-4a5f-91a0-2a64d999ff7a","D15","REDB","REDB","2016-06-02T18:00Z",,1,2.74,"start time: 13:50; end time: 15:17"
"394e73c2-ddc7-4baf-a9a6-8b686cc3942f","D15","REDB","REDB","2016-06-02T18:00Z",,16,3.12,"start time: 13:50; end time: 15:17"
"d75bbb4f-d8ad-420d-8043-9304b44d6e1a","D15","REDB","REDB","2016-06-02T18:00Z",,11,1.95,"start time: 13:50; end time: 15:17"
"9327d442-238e-4cbb-82ac-b550ee75b86a","D15","REDB","REDB","2016-06-02T18:00Z",,4,2.00,"start time: 13:50; end time: 15:17"
"eb85bc88-ad58-4f67-8598-87a770e54028","D15","REDB","REDB","2016-06-02T18:00Z",,21,2.15,"start time: 13:50; end time: 15:17"
"a70fbf70-b59a-4e81-905c-09a238421efc","D15","REDB","REDB","2016-06-02T18:00Z",,23,3.85,"start time: 13:50; end time: 15:17"
"c58b8b53-828e-469f-b8ac-820b02a84bea","D15","REDB","REDB","2016-06-02T18:00Z",,12,2.10,"start time: 13:50; end time: 15:17"
"07aab23f-4b33-4ff4-994d-36d41b5c32d4","D15","REDB","REDB","2016-06-02T18:00Z",,17,2.06,"start time: 13:50; end time: 15:17"
"f02ea3fa-44ce-4f37-aa8b-3830018c5e07","D15","REDB","REDB","2016-06-02T18:00Z",,19,2.64,"start time: 13:50; end time: 15:17"
"960c7ef8-2ba0-40f0-a480-f0334408ef93","D15","REDB","REDB","2016-06-02T18:00Z",,29,3.30,"start time: 13:50; end time: 15:17"
"6114356c-2cc2-467d-9a90-a029e1424e47","D15","REDB","REDB","2016-06-02T18:00Z",,8,3.50,"start time: 13:50; end time: 15:17"
"0c7607d3-1ad8-4cff-a15d-db743b4e3c9a","D15","REDB","REDB","2016-06-02T18:00Z",,22,3.35,"start time: 13:50; end time: 15:17"
"f09ea8c5-69fa-4389-8414-e24e81706a34","D15","REDB","REDB","2016-06-02T18:00Z",,26,2.93,"start time: 13:50; end time: 15:17"
"a11e16c2-2ecb-41c8-8e5e-0ddabe362472","D15","REDB","REDB","2016-06-02T18:00Z",,9,2.53,"start time: 13:50; end time: 15:17"
