uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,sampleCondition,geneticSampleID,geneticSampleCode,geneticSampleCond,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"8beb2aaa-68f4-4bdd-946b-3eb7265e3bc4","D18","TOOK","TOOK.AOS.littoral3",68.625860,-149.598200,5.0,"WGS84",717.0,5.0,"lake","2021-07-09T18:45Z","TOOK.20210709",1,"TOOK.20210709.PONAR.2","A00000305421",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","pelagic","petitePonar",2,,0.023,4.7,,,,,,"0000-0003-4502-2505","0000-0001-5131-1181",
"6ab1bf70-ec57-45e7-b7d7-02d4bd091152","D18","TOOK","TOOK.AOS.riparian.point.02",68.627870,-149.612396,0.1,"WGS84",715.7,0.1,"lake","2021-07-09T18:45Z","TOOK.20210709",1,"TOOK.20210709.BENTHICSWEEP.2","A00000305411",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","littoral","benthicSweep",2,,0.305,,,,,,,"0000-0003-4502-2505","0000-0001-5131-1181",
"7124e1e4-d91c-42a6-acc2-910a15542e2e","D18","TOOK","TOOK.AOS.riparian.point.08",68.636829,-149.591496,0.4,"WGS84",716.2,0.5,"lake","2021-07-09T18:45Z","TOOK.20210709",1,"TOOK.20210709.BENTHICSWEEP.8","A00000305422",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","littoral","benthicSweep",8,,0.305,,,,,,,"0000-0003-4502-2505","0000-0001-5131-1181",
"63eaec87-4e45-4baa-af6f-f09011f6fc2c","D18","TOOK","TOOK.AOS.littoral2",68.640502,-149.596089,5.0,"WGS84",717.0,5.0,"lake","2021-07-09T18:45Z","TOOK.20210709",1,"TOOK.20210709.PONAR.3","A00000030174",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","pelagic","petitePonar",3,,0.023,3.2,,,,,,"0000-0003-4502-2505","0000-0001-5131-1181",
"ff880ce9-dfae-4c3a-8244-3087115d6ea6","D18","TOOK","TOOK.AOS.riparian.point.06",68.637315,-149.606243,0.4,"WGS84",717.1,0.5,"lake","2021-07-09T18:45Z","TOOK.20210709",1,"TOOK.20210709.BENTHICSWEEP.6","A00000305409",,"TOOK.20210709.BENTHICSWEEP.6.ARC","A00000308145",,"NEON.DOC.003046vE",,"OK - no known exceptions","littoral","benthicSweep",6,,0.305,,,,,,,"0000-0003-4502-2505","0000-0001-5131-1181",
"675af5bc-bdae-4992-b941-300729c459a0","D18","TOOK","TOOK.AOS.riparian.point.10",68.629073,-149.592146,0.6,"WGS84",715.2,0.8,"lake","2021-07-09T18:45Z","TOOK.20210709",1,"TOOK.20210709.BENTHICSWEEP.10","A00000305410",,"TOOK.20210709.BENTHICSWEEP.10.ARC","A00000308129",,"NEON.DOC.003046vE",,"OK - no known exceptions","littoral","benthicSweep",10,,0.305,,,,,,,"0000-0003-4502-2505","0000-0001-5131-1181",
"0b3e06a7-2712-46cf-9e50-afdcde686e9f","D18","TOOK","TOOK.AOS.buoy.c0",68.630699,-149.611405,10.0,"WGS84",715.0,10.0,"lake","2021-07-09T18:45Z","TOOK.20210709",1,"TOOK.20210709.PONAR.1","A00000305423",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","pelagic","petitePonar",1,,0.023,20.6,,,,,,"0000-0003-4502-2505","0000-0001-5131-1181",
"c8345295-53bf-4b56-8f88-f6e7532d0d70","D18","TOOK","TOOK.AOS.riparian.point.04",68.633829,-149.630783,0.3,"WGS84",716.7,0.5,"lake","2021-07-09T18:45Z","TOOK.20210709",1,"TOOK.20210709.BENTHICSWEEP.4","A00000305412",,"TOOK.20210709.BENTHICSWEEP.4.ARC","A00000308176",,"NEON.DOC.003046vE",,"OK - no known exceptions","littoral","benthicSweep",4,,0.305,,,,,,,"0000-0003-4502-2505","0000-0001-5131-1181",
"e59c53de-1f88-4a08-a320-e43f7acef30c","D18","TOOK","TOOK.AOS.littoral3",68.625860,-149.598200,5.0,"WGS84",717.0,5.0,"lake","2021-07-28T18:37Z","TOOK.20210728",2,"TOOK.20210728.PONAR.2","A00000305505",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","pelagic","petitePonar",2,,0.023,3.7,,,,,,"0000-0003-4502-2505","0000-0001-5131-1181",
"5e0d6f1b-cb75-4cef-af0a-2477daf6cbfd","D18","TOOK","TOOK.AOS.littoral2",68.640502,-149.596089,5.0,"WGS84",717.0,5.0,"lake","2021-07-28T18:37Z","TOOK.20210728",2,"TOOK.20210728.PONAR.3","A00000305507",,,,,"NEON.DOC.003046vE",,"OK - no known exceptions","pelagic","petitePonar",3,,0.023,3.3,,,,,,"0000-0003-4502-2505","0000-0001-5131-1181",
