quantile_gpp,quantile_om,quantile_mat,slope,.lower,.upper,animal_type
High GPP,High OM,High Temp,-0.8141474695315286,-1.1057490414206832,-0.5292369799280352,fish
High GPP,High OM,High Temp,-0.45437345721929967,-0.9960273108102606,0.11572800898209981,inverts
High GPP,High OM,Low Temp,-0.6587202697453327,-1.0055590822428042,-0.359547762988354,fish
High GPP,High OM,Low Temp,-1.159051498341938,-2.354102676277935,0.17064186345163868,inverts
High GPP,High OM,Median Temp,-0.7642693337207234,-1.0224683608641412,-0.5150826721391112,fish
High GPP,High OM,Median Temp,-0.6991075295395939,-1.2917991855608637,-0.1252310634923029,inverts
High GPP,Low OM,High Temp,-0.8139207049416082,-1.037306814439537,-0.6104215864643555,fish
High GPP,Low OM,High Temp,-0.6516157835681045,-1.2781846906334846,0.013191449914567492,inverts
High GPP,Low OM,Low Temp,-0.7598044769138498,-1.1095355974510288,-0.39628275116966705,fish
High GPP,Low OM,Low Temp,-1.1511792000983823,-2.5933643385380476,0.47411976899183716,inverts
High GPP,Low OM,Median Temp,-0.7960932288760116,-1.063997615301043,-0.5570058069984958,fish
High GPP,Low OM,Median Temp,-0.8102884212628185,-1.5898813621022305,0.0071651913494264145,inverts
High GPP,Median OM,High Temp,-0.8129161229736522,-1.0545707344226212,-0.6064281878872849,fish
High GPP,Median OM,High Temp,-0.5798827165051468,-1.1439933026555056,-0.050689223171270253,inverts
High GPP,Median OM,Low Temp,-0.72386822364385806,-1.0414365327478419,-0.40998496982387456,fish
High GPP,Median OM,Low Temp,-1.1811298563530839,-2.4023634748438987,0.18964437825802416,inverts
High GPP,Median OM,Median Temp,-0.782483599934569,-1.0303318454975128,-0.5603309552017892,fish
High GPP,Median OM,Median Temp,-0.7819191428817491,-1.4260910587001687,-0.10996128721159085,inverts
Low GPP,High OM,High Temp,-0.6466732807682529,-0.9486482002617165,-0.30324810340694985,fish
Low GPP,High OM,High Temp,-0.8500372266030376,-2.09296304815528,0.3022518956793677,inverts
Low GPP,High OM,Low Temp,-0.3010267402631468,-0.48920953386002675,-0.0926012772331207,fish
Low GPP,High OM,Low Temp,-0.6488170849696913,-1.5091838854879882,0.17491058708139634,inverts
Low GPP,High OM,Median Temp,-0.5327684259399695,-0.7676018471196984,-0.25138174876470903,fish
Low GPP,High OM,Median Temp,-0.7740374144616979,-1.7922379408636193,0.12496518754307538,inverts
Low GPP,Low OM,High Temp,-0.6052955134844707,-0.9559054441288515,-0.2502019143732983,fish
Low GPP,Low OM,High Temp,-1.0646217706468006,-2.565975969898181,0.4801102399875968,inverts
Low GPP,Low OM,Low Temp,-0.3448591882927621,-0.5748531702980963,-0.10374585138815855,fish
Low GPP,Low OM,Low Temp,0.3928849412837805,-0.6146194347827203,1.4659555094134045,inverts
Low GPP,Low OM,Median Temp,-0.5227828807600097,-0.7960754573874054,-0.22097292456262294,fish
Low GPP,Low OM,Median Temp,-0.5867952448887477,-1.6760741004710251,0.634773049471144,inverts
Low GPP,Median OM,High Temp,-0.6163321150959176,-0.9233487736501049,-0.2813598687652541,fish
Low GPP,Median OM,High Temp,-0.9809811880572357,-2.3675384307204124,0.4104705636455689,inverts
Low GPP,Median OM,Low Temp,-0.3345134172354075,-0.5191556784618554,-0.11588454185616334,fish
Low GPP,Median OM,Low Temp,0.08171236890725497,-0.7720650609765132,0.9401243152428198,inverts
Low GPP,Median OM,Median Temp,-0.5236847800879794,-0.7656765814928392,-0.24535915119874818,fish
Low GPP,Median OM,Median Temp,-0.654408456701304,-1.6906975150930328,0.4347937128680542,inverts
Median GPP,High OM,High Temp,-0.7122641915883412,-0.9657319636626658,-0.4624524611355555,fish
Median GPP,High OM,High Temp,-0.6944292510658174,-1.5831714078289214,0.18110708388512214,inverts
Median GPP,High OM,Low Temp,-0.46135571465764247,-0.6586989388708384,-0.24905592380433272,fish
Median GPP,High OM,Low Temp,-0.8521264230584291,-1.5337977268156502,-0.12359468985269968,inverts
Median GPP,High OM,Median Temp,-0.6286234657096967,-0.8372376988321772,-0.4076276471275569,fish
Median GPP,High OM,Median Temp,-0.7652540354014408,-1.3554695948709943,-0.1456420162404904,inverts
Median GPP,Low OM,High Temp,-0.693404340442995,-0.9526745670561627,-0.45575300803277363,fish
Median GPP,Low OM,High Temp,-0.8845888825728672,-1.8531961080190453,0.08722154856737398,inverts
Median GPP,Low OM,Low Temp,-0.5291099386358556,-0.7495243521899783,-0.30264188129886005,fish
Median GPP,Low OM,Low Temp,-0.2655492595451563,-0.9597803340125209,0.5422370948258728,inverts
Median GPP,Low OM,Median Temp,-0.6396073188015279,-0.8461712202442432,-0.4208967979715732,fish
Median GPP,Low OM,Median Temp,-0.6690975777359351,-1.2955138560206807,0.06097902617983074,inverts
Median GPP,Median OM,High Temp,-0.699886154810669,-0.9369571918547254,-0.4441534572984201,fish
Median GPP,Median OM,High Temp,-0.8346051094458735,-1.7084377979312229,0.04544483846831876,inverts
Median GPP,Median OM,Low Temp,-0.5043645889408717,-0.6970561865286298,-0.30084311378749795,fish
Median GPP,Median OM,Low Temp,-0.4622452458856745,-1.0400300036244972,0.20708943834494678,inverts
Median GPP,Median OM,Median Temp,-0.6393678237586371,-0.8380044420173113,-0.42156592448437347,fish
Median GPP,Median OM,Median Temp,-0.7021647461914362,-1.2667930508687828,-0.03679710774349386,inverts
