name,value,.lower,.upper,model
a,-1.2240537933858966,-1.2463252226973427,-1.1988790981910136,ISD
beta_om,-0.0049425132649622075,-0.05550861556645544,0.05223715051426511,ISD
beta_gpp,-0.005485614620515208,-0.02823934430156771,0.020046865642650385,ISD
beta_mat,0.005109977114009702,-0.024968755090132105,0.03776835968471569,ISD
beta_gpp_om,0.0019202272994827219,-0.04095351842055784,0.04738033216869116,ISD
beta_om_mat,0.011409242982637048,-0.06083750376324998,0.08690932570248487,ISD
beta_gpp_mat,-0.005174400186564348,-0.03040101747169817,0.017489135347427978,ISD
beta_om_mat_gpp,0.0013988570804891129,-0.06821354110549359,0.07290853139735617,ISD
sigma_site,0.023321737752050355,0.011974651837168036,0.03868625425708583,ISD
sigma_year,0.004297220427044985,1.7184462625097476e-4,0.018918721535085052,ISD
sigma_sample,0.040163981746209367,0.03518716911549136,0.045997947945846045,ISD
b_mat_s,0.29859007694675427,-0.11207847813709358,0.7165594911268488,Standing Stock Biomass
b_log_om_s,0.01563984703339451,-0.5294093513228566,0.5593523363656551,Standing Stock Biomass
b_Intercept,1.1072749860490263,0.6412071468067161,1.6269370367006075,Standing Stock Biomass
b_log_gpp_s,-0.2847694878831213,-0.5285339334996157,-0.035984361687155755,Standing Stock Biomass
b_log_om_s:mat_s,0.1566055393111887,-0.9860085775647769,1.3173857923167385,Standing Stock Biomass
b_log_gpp_s:mat_s,0.0855670969883369,-0.25018093983840506,0.4024712072270084,Standing Stock Biomass
b_log_gpp_s:log_om_s,-0.21673466208201791,-0.6561357281792549,0.2349762068052986,Standing Stock Biomass
b_log_gpp_s:log_om_s:mat_s,1.129731865869922,0.08456526345785088,2.1234743798695,Standing Stock Biomass
sigma,0.7306646150533984,0.6493264458380934,0.8301618890494181,Standing Stock Biomass
sd_year__Intercept,0.10096900907949585,0.0046543361788365534,0.45743536803009166,Standing Stock Biomass
sd_season__Intercept,0.22213131283270443,0.010913436774296058,1.004398527399631,Standing Stock Biomass
