ID,Method,b,confMin,confMax,stdErr,site_id,year_month,mat_site,sdat_site
1,MLE,-1.2464160474886075,-1.2540960474886074,-1.2388160474886074,0.0038979591836734596,ARIK,2016_3,11.43645853431112,0.7064132063368674
2,MLE,-1.2186772962586512,-1.222187296258651,-1.2151872962586512,0.001785714285714259,ARIK,2016_7,11.43645853431112,0.7064132063368674
3,MLE,-1.2726676852614867,-1.2738576852614867,-1.2714776852614866,6.071428571428696e-4,ARIK,2016_9,11.43645853431112,0.7064132063368674
5,MLE,-1.307313997464213,-1.3103539974642129,-1.3042839974642129,0.0015484693877551071,ARIK,2017_3,11.43645853431112,0.7064132063368674
6,MLE,-1.32861457959504,-1.33058457959504,-1.32665457959504,0.0010025510204081604,ARIK,2017_7,11.43645853431112,0.7064132063368674
4,MLE,-1.3013456259845209,-1.303625625984521,-1.2990756259845209,0.0011607142857142996,ARIK,2017_10,11.43645853431112,0.7064132063368674
8,MLE,-1.2583285783721805,-1.2614485783721805,-1.2552185783721805,0.0015892857142857037,ARIK,2018_3,11.43645853431112,0.7064132063368674
9,MLE,-1.331519229178684,-1.333789229178684,-1.329249229178684,0.0011581632653061196,ARIK,2018_7,11.43645853431112,0.7064132063368674
7,MLE,-1.3144952509460905,-1.3163352509460906,-1.3126552509460905,9.387755102041142e-4,ARIK,2018_10,11.43645853431112,0.7064132063368674
11,MLE,-1.2550979189405875,-1.2573779189405876,-1.2528279189405875,0.0011607142857142996,ARIK,2019_3,11.43645853431112,0.7064132063368674
12,MLE,-1.3360313328175129,-1.3378113328175127,-1.3342613328175128,9.056122448979445e-4,ARIK,2019_7,11.43645853431112,0.7064132063368674
10,MLE,-1.2938325223602365,-1.2948525223602365,-1.2928125223602365,5.204081632653168e-4,ARIK,2019_10,11.43645853431112,0.7064132063368674
13,MLE,-1.3274004893394753,-1.3311104893394752,-1.3237004893394753,0.0018903061224489583,ARIK,2021_3,11.43645853431112,0.7064132063368674
14,MLE,-1.2891460063237923,-1.2942060063237921,-1.2841160063237922,0.0025739795918367173,BIGC,2018_5,10.414552288426544,1.13565784618016
15,MLE,-1.3238028617247826,-1.3250528617247825,-1.3225528617247826,6.377551020408027e-4,BIGC,2018_7,10.414552288426544,1.13565784618016
16,MLE,-1.288509936097651,-1.289399936097651,-1.287619936097651,4.5408163265303386e-4,BIGC,2018_9,10.414552288426544,1.13565784618016
18,MLE,-1.3037521380839356,-1.3089021380839356,-1.2986421380839355,0.0026173469387755508,BIGC,2019_4,10.414552288426544,1.13565784618016
19,MLE,-1.420704005115494,-1.422284005115494,-1.4191240051154939,8.061224489796051e-4,BIGC,2019_7,10.414552288426544,1.13565784618016
17,MLE,-1.3306607747463717,-1.3316107747463717,-1.3297107747463717,4.8469387755102367e-4,BIGC,2019_10,10.414552288426544,1.13565784618016
20,MLE,-1.2664434722433429,-1.2679334722433429,-1.2649534722433429,7.602040816326487e-4,BLDE,2018_9,4.409078277377524,0.6826427345305923
21,MLE,-1.29812833680856,-1.29967833680856,-1.29657833680856,7.908163265306384e-4,BLDE,2019_9,4.409078277377524,0.6826427345305923
22,MLE,-1.288860054403494,-1.289930054403494,-1.287790054403494,5.459183673469465e-4,BLUE,2017_10,15.731182747752111,1.7199704636038284
24,MLE,-1.3476405332092318,-1.3503405332092318,-1.3449505332092317,0.0013750000000000017,BLUE,2018_3,15.731182747752111,1.7199704636038284
25,MLE,-1.2462887857911005,-1.2483487857911004,-1.2442287857911003,0.0010510204081632967,BLUE,2018_7,15.731182747752111,1.7199704636038284
23,MLE,-1.2697915932134165,-1.2725815932134164,-1.2670115932134165,0.0014209183673469013,BLUE,2018_11,15.731182747752111,1.7199704636038284
26,MLE,-1.1383212485644485,-1.1421812485644485,-1.1344812485644484,0.0019642857142857244,CARI,2017_5,0.9393181954326353,0.6622417563086561
27,MLE,-1.2289517152516511,-1.232401715251651,-1.225521715251651,0.0017551020408163257,CARI,2017_7,0.9393181954326353,0.6622417563086561
28,MLE,-1.2346322767629476,-1.2388422767629477,-1.2304522767629475,0.00214030612244901,CARI,2017_8,0.9393181954326353,0.6622417563086561
29,MLE,-1.2435150422446035,-1.2531350422446035,-1.2340450422446034,0.004869897959183687,CARI,2019_8,0.9393181954326353,0.6622417563086561
30,MLE,-1.283861800312879,-1.2894618003128788,-1.278311800312879,0.0028443877551019825,CARI,2021_5,0.9393181954326353,0.6622417563086561
31,MLE,-1.3430707093521668,-1.3510407093521668,-1.3351907093521667,0.004043367346938812,CUPE,2017_1,22.898555253576088,0.718765868715626
33,MLE,-1.35704963905898,-1.3621796390589798,-1.3519596390589799,0.0026071428571428305,CUPE,2017_6,22.898555253576088,0.718765868715626
32,MLE,-1.4446623533510892,-1.4499223533510892,-1.4394423533510892,0.0026734693877551135,CUPE,2017_11,22.898555253576088,0.718765868715626
34,MLE,-1.373114249409949,-1.379874249409949,-1.366424249409949,0.0034311224489795822,CUPE,2018_1,22.898555253576088,0.718765868715626
36,MLE,-1.2649425234214584,-1.2695225234214584,-1.2604025234214584,0.0023265306122449026,CUPE,2018_6,22.898555253576088,0.718765868715626
35,MLE,-1.3037152925168667,-1.3125652925168667,-1.2949952925168666,0.004482142857142879,CUPE,2018_11,22.898555253576088,0.718765868715626
37,MLE,-1.2939734766845916,-1.2978534766845915,-1.2901134766845916,0.001974489795918331,CUPE,2019_1,22.898555253576088,0.718765868715626
39,MLE,-1.2671335795549805,-1.2702335795549804,-1.2640435795549805,0.0015790816326530402,CUPE,2019_6,22.898555253576088,0.718765868715626
38,MLE,-1.2989942311935725,-1.3042942311935724,-1.2937342311935724,0.0026938775510203833,CUPE,2019_11,22.898555253576088,0.718765868715626
40,MLE,-1.8230245125424636,-1.8296745125424638,-1.8164045125424637,0.0033852040816326825,GUIL,2017_11,20.988964424319935,0.9540626100186733
41,MLE,-1.6525148137819319,-1.6569948137819317,-1.6480548137819317,0.002280612244897946,GUIL,2018_1,20.988964424319935,0.9540626100186733
43,MLE,-1.344841355491387,-1.346021355491387,-1.343661355491387,6.020408163265096e-4,GUIL,2018_7,20.988964424319935,0.9540626100186733
42,MLE,-1.2482043937756755,-1.2503343937756755,-1.2460743937756753,0.00108673469387759,GUIL,2018_11,20.988964424319935,0.9540626100186733
44,MLE,-1.307372315025668,-1.308522315025668,-1.3062223150256678,5.867346938775997e-4,GUIL,2019_1,20.988964424319935,0.9540626100186733
46,MLE,-1.2898724513591748,-1.290762451359175,-1.2889824513591748,4.540816326530905e-4,GUIL,2019_6,20.988964424319935,0.9540626100186733
45,MLE,-1.2629074340550512,-1.2641174340550512,-1.2616974340550513,6.173469387754763e-4,GUIL,2019_11,20.988964424319935,0.9540626100186733
47,MLE,-1.3979126986297925,-1.4004826986297925,-1.3953526986297926,0.0013086734693877186,HOPB,2016_10,8.761415631664528,1.4033831322462125
49,MLE,-1.1593078308048042,-1.161047830804804,-1.1575778308048041,8.852040816326179e-4,HOPB,2017_4,8.761415631664528,1.4033831322462125
50,MLE,-1.3519217808842128,-1.3541017808842128,-1.3497517808842128,0.0011096938775510398,HOPB,2017_7,8.761415631664528,1.4033831322462125
48,MLE,-1.1940615075212224,-1.1949815075212225,-1.1931415075212224,4.693877551020571e-4,HOPB,2017_10,8.761415631664528,1.4033831322462125
52,MLE,-1.2686359317007356,-1.2731959317007355,-1.2641059317007355,0.002318877551020419,HOPB,2018_4,8.761415631664528,1.4033831322462125
53,MLE,-1.3276576139917227,-1.3312376139917226,-1.3240876139917226,0.001823979591836732,HOPB,2018_7,8.761415631664528,1.4033831322462125
51,MLE,-1.386034332533668,-1.391794332533668,-1.380324332533668,0.002926020408163232,HOPB,2018_10,8.761415631664528,1.4033831322462125
55,MLE,-1.361025709726725,-1.3652357097267251,-1.3568357097267252,0.002142857142857134,HOPB,2019_4,8.761415631664528,1.4033831322462125
56,MLE,-1.311461510377092,-1.3143715103770919,-1.3085615103770918,0.0014821428571428809,HOPB,2019_7,8.761415631664528,1.4033831322462125
54,MLE,-1.541765288502503,-1.543595288502503,-1.539935288502503,9.336734693877542e-4,HOPB,2019_10,8.761415631664528,1.4033831322462125
57,MLE,-1.3894343559537252,-1.391444355953725,-1.3874343559537252,0.0010229591836734303,HOPB,2020_10,8.761415631664528,1.4033831322462125
58,MLE,-1.1952249319777895,-1.1972649319777895,-1.1931949319777893,0.0010382653061225102,HOPB,2021_4,8.761415631664528,1.4033831322462125
60,MLE,-1.359774135110116,-1.365714135110116,-1.3538841351101158,0.0030178571428572014,KING,2017_3,12.460502297363462,0.9434354386864866
61,MLE,-1.438504769141928,-1.4412047691419279,-1.435804769141928,0.001377551020408125,KING,2017_7,12.460502297363462,0.9434354386864866
59,MLE,-1.3733730795927945,-1.3766630795927945,-1.3700930795927944,0.001676020408163313,KING,2017_10,12.460502297363462,0.9434354386864866
63,MLE,-1.224863260788142,-1.236753260788142,-1.213103260788142,0.00603316326530611,KING,2018_3,12.460502297363462,0.9434354386864866
62,MLE,-1.319778283633295,-1.324088283633295,-1.3154882836332948,0.0021938775510204496,KING,2018_10,12.460502297363462,0.9434354386864866
65,MLE,-1.3560100591778506,-1.3599100591778506,-1.3521300591778505,0.001984693877551051,KING,2019_3,12.460502297363462,0.9434354386864866
66,MLE,-1.3223104956368528,-1.3248204956368528,-1.3198104956368528,0.0012780612244897853,KING,2019_7,12.460502297363462,0.9434354386864866
64,MLE,-1.3040291185266966,-1.3056791185266965,-1.3023791185266966,8.418367346938415e-4,KING,2019_10,12.460502297363462,0.9434354386864866
67,MLE,-1.2011825749095384,-1.2033425749095383,-1.1990225749095385,0.0011020408163265,KING,2020_9,12.460502297363462,0.9434354386864866
68,MLE,-1.3124404675227817,-1.3165904675227815,-1.3083204675227815,0.0021096938775510207,LECO,2016_10,12.47936914902431,0.5375568091785675
69,MLE,-1.3207451728995356,-1.3240651728995356,-1.3174451728995356,0.0016887755102040995,LECO,2017_10,12.47936914902431,0.5375568091785675
71,MLE,-1.4007768197890016,-1.4039768197890017,-1.3975968197890016,0.0016275510204081765,LECO,2018_7,12.47936914902431,0.5375568091785675
70,MLE,-1.4728722628378388,-1.4822022628378386,-1.4636522628378388,0.004732142857142818,LECO,2018_10,12.47936914902431,0.5375568091785675
73,MLE,-1.432403787219506,-1.4345337872195059,-1.4302737872195057,0.00108673469387759,LECO,2019_3,12.47936914902431,0.5375568091785675
74,MLE,-1.3664776425817156,-1.3684776425817156,-1.3644776425817156,0.001020408163265307,LECO,2019_7,12.47936914902431,0.5375568091785675
72,MLE,-1.4078899471288946,-1.4099399471288945,-1.4058499471288946,0.001043367346938757,LECO,2019_10,12.47936914902431,0.5375568091785675
76,MLE,-1.268685134156374,-1.269935134156374,-1.2674351341563739,6.377551020408593e-4,LEWI,2017_3,12.70822481226918,0.22468126589237283
77,MLE,-1.2009438915309276,-1.2021838915309275,-1.1997038915309277,6.326530612244428e-4,LEWI,2017_7,12.70822481226918,0.22468126589237283
75,MLE,-1.2546495480367945,-1.2557795480367946,-1.2535195480367944,5.765306122449364e-4,LEWI,2017_11,12.70822481226918,0.22468126589237283
