siteID,mean,sd,om_units,units
ARIK,0.5050600000000001,0.3691945925931202,gAFDM_m2,NA
BIGC,0.3536917562724014,0.16731878435013822,gAFDM_m2,NA
BLDE,0.5156989247311827,0.35005587318095316,gAFDM_m2,NA
BLUE,0.1691,0.04302037656738955,gAFDM_m2,NA
CARI,0.2985,0.12232947314527273,gAFDM_m2,NA
COMO,3.611774193548387,3.4314447464225886,gAFDM_m2,NA
CUPE,0.10209677419354839,0.06622473187241752,gAFDM_m2,NA
GUIL,0.3463978494623656,0.4196260564912426,gAFDM_m2,NA
HOPB,0.4712903225806451,0.5144391915600194,gAFDM_m2,NA
KING,9.228709677419355,12.58361145160602,gAFDM_m2,NA
LECO,0.30655913978494626,0.11328915096429636,gAFDM_m2,NA
LEWI,37.708333333333336,41.801795881144734,gAFDM_m2,NA
MART,0.4623118279569892,0.11442964577266171,gAFDM_m2,NA
MCDI,0.5458064516129032,0.7718868863017021,gAFDM_m2,NA
MCRA,0.7367204301075269,0.3952955005794473,gAFDM_m2,NA
OKSR,0.41432625999999995,0.2142904919476718,gAFDM_m2,NA
POSE,1.2106451612903226,1.3304252104518504,gAFDM_m2,NA
PRIN,2.0483333333333333,2.2674557450048622,gAFDM_m2,NA
REDB,0.10945999999999999,0.15479981653735897,gAFDM_m2,NA
SYCA,1.805752688172043,1.5786729137393856,gAFDM_m2,NA
TECR,3.515483870967742,2.1138691108116547,gAFDM_m2,NA
WALK,4.591720430107527,NA,gAFDM_m2,NA
WLOU,1.9287096774193548,0.6665051660087392,gAFDM_m2,NA
MAYF,NA,NA,NA,NA
