sample_id,.epred,.lower,.upper,.width,.point,.interval
1,-1.2276869705922226,-1.2456791632969162,-1.2096378669982635,0.95,median,qi
2,-1.1611099011129524,-1.1665826541821591,-1.1553524738628058,0.95,median,qi
3,-1.221891247812493,-1.228945477749343,-1.2150891810656674,0.95,median,qi
4,-1.257242926609997,-1.2707237593276361,-1.2440060468729501,0.95,median,qi
5,-1.2219769570190566,-1.2325031162331301,-1.2114242278650835,0.95,median,qi
6,-1.1846650525913933,-1.1941849798261683,-1.1760177024968907,0.95,median,qi
7,-1.249402747310677,-1.2590916318086152,-1.2405345473469855,0.95,median,qi
8,-1.3019340158661192,-1.3085248243172822,-1.2956139008551675,0.95,median,qi
9,-1.209211288884357,-1.2187487077718373,-1.1994686537043242,0.95,median,qi
10,-1.1599448227544893,-1.1707044358734209,-1.1488938605407366,0.95,median,qi
11,-1.172736151284913,-1.1765826417462955,-1.1690865567660382,0.95,median,qi
12,-1.2077566899593657,-1.2131356704189942,-1.2025316926851235,0.95,median,qi
13,-1.268086166230371,-1.2837791919895538,-1.253151393168448,0.95,median,qi
14,-1.2247592100121931,-1.2545263591976776,-1.1980608186182886,0.95,median,qi
15,-1.2122410396092478,-1.2352139942017184,-1.1882526391251886,0.95,median,qi
16,-1.222644598410746,-1.2396395375926312,-1.2057835694415417,0.95,median,qi
17,-1.2193460387829305,-1.23508607877764,-1.2038078461530555,0.95,median,qi
19,-1.4760575281251604,-1.4839264340660525,-1.4681193593623854,0.95,median,qi
20,-1.1627516603637291,-1.1737824655187046,-1.1516014364071343,0.95,median,qi
21,-1.1980411696190836,-1.2023721383677697,-1.193494454691265,0.95,median,qi
22,-1.2103670226390602,-1.2176683437910267,-1.2027328318580235,0.95,median,qi
23,-1.2149847723149845,-1.220932315548033,-1.2089302095143393,0.95,median,qi
24,-1.191602538347984,-1.1985502643615833,-1.184965744865037,0.95,median,qi
26,-1.2507354648948807,-1.2592402420152302,-1.2427140725471484,0.95,median,qi
27,-1.2676787033853407,-1.2747379054165031,-1.2607764048781729,0.95,median,qi
28,-1.2273629127665218,-1.234068180101503,-1.2206171548594504,0.95,median,qi
29,-1.2387019641167583,-1.2494945784704414,-1.227383750336347,0.95,median,qi
30,-1.2435132551548294,-1.2544248563354279,-1.2326903454723057,0.95,median,qi
31,-1.3967975810829345,-1.403394543100534,-1.3905824172855448,0.95,median,qi
32,-1.2635592734769332,-1.269973611303194,-1.2573294980043717,0.95,median,qi
33,-1.2099471086513893,-1.219393504672126,-1.2005411979591374,0.95,median,qi
34,-1.2934583865949145,-1.3027100327816163,-1.2844855217799185,0.95,median,qi
36,-1.2367867846634994,-1.2443132544817446,-1.2296985880006885,0.95,median,qi
37,-1.269403311724158,-1.2772091804465486,-1.261183719079012,0.95,median,qi
38,-1.27911054928678,-1.2900979479102928,-1.2683195471135662,0.95,median,qi
39,-1.277612640904491,-1.2865726056873554,-1.2684021377519608,0.95,median,qi
40,-1.2636370185772727,-1.2730208961187117,-1.2548446016161707,0.95,median,qi
41,-1.2209161073975805,-1.2306277029976713,-1.2111601288477756,0.95,median,qi
