sample,sample_code,notes
ARIK.20190327.KICK,A00000246436,
MART.20196424.SURBUR,A00000061064,
PRIN.20191022.CORE,A00000145123,
PRIN.2019.0219.CORE,A00000053023,
"WALK.2019,1028.SURBER",A00000144383,this sample is missing
WLOU.20210920.SURBER,A00000249135,
BLDE.20190904.SURBER,A00000117579,
MCRA.20190925.SURBER,A00000139774,
BLDE.20196502.SURBER,A00000117547,
MART.2090930.SURBER,A00000139860,
HOPB.20191003.SURBLIR,A00000067642,
LECO.20190326.SURBER,A00000443721,
MCRA.20190529..SURBER,A00000061099,
HOPB.2019041.SURBER,A00000033181,
WLOU.20210920.SURBER,A00000249137,
LECO.20198014.SURBER,A00000144391,
COMO.20180605.SURBER,A00000185190,
BLUE.20191009.KICKNET,A00000145047,
WALK.20190312.SURBER,A00000144368,
COMO.20180329.SURBER,A00000020145,blurred label. I think it's right but need to double check
