Site,mat.c,map.mm,chla,canopy,q,tdn,tdp,latitude
ARIK,11,449,8,18,1,0.32,0.022,39.75825
BIGC,7,941,8,82,3.2,0.14,0.014,37.058
BLDE,0.2,509,17,29,18.7,0.19,0.029,44.95011
BLUE,16,980,80,41,86.3,0.51,0.014,34.44422
CARI,-1,399,1,76,15.6,0.45,0.008,65.15306
COMO,-0.3,758,5,82,2.3,0.16,0.007,40.03496
CUPE,25,1168,29,82,4.1,0.41,0.011,18.11352
GUIL,25,1168,54,53,6.9,0.5,0.021,18.1741
HOPB,8,967,12,76,5.6,0.17,0.007,42.47179
KING,12,860,20,88,1.8,0.21,0.02,39.10506
LECO,13.4,1396,17,94,7.8,0.22,0.008,35.69043
LEWI,12,950,113,94,3.2,2.74,0.008,38.94428
MART,8,2530,3,85,9.9,0.05,0.019,45.79125
MAYF,17,1350,1,91,6.3,0.13,0.006,32.95966
MCDI,12,860,25,88,2.8,0.53,0.027,39.09564
MCRA,10,1750,3,91,6.9,0.09,0.018,44.2596
OKSR,-4,331,5,0,38.1,0.24,0.008,68.66975
POSE,13,1054,48,88,0.9,0.46,0.015,38.89332
PRIN,18,840,8,65,1,0.38,0.028,33.37859
REDB,9.5,713,11,88,3.2,0.12,0.016,40.78374
SYCA,21,350,5,53,7.6,1.07,0.113,33.74906
TECR,7,941,7,94,1.8,0.08,0.007,36.95528
WALK,15.3,1222,9,94,0.9,0.09,0.01,35.95947
WLOU,-0.3,758,5,82,5.8,0.09,0.006,39.89137
