uid,domainID,siteID,namedLocation,collectDate,measuringMethod,widthMeasurementNumber,wettedWidth,remarks
"c857a966-6c41-4c1b-971d-4b83c27064b1","D04","GUIL","GUIL","2016-11-04T16:00Z",,33,5.95,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"50af580b-ae37-4b69-85d3-6bc46442b47d","D04","GUIL","GUIL","2016-11-04T16:00Z",,30,4.90,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"eba929e1-8b3f-45c7-951f-a58e2dcfe634","D04","GUIL","GUIL","2016-11-04T16:00Z",,31,5.10,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"d0ddcd50-92bc-4540-b1d0-57315edf7e17","D04","GUIL","GUIL","2016-11-04T16:00Z",,32,6.30,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"33676194-5797-4e59-b1d5-df767b003db8","D04","GUIL","GUIL","2016-11-04T16:00Z",,11,7.30,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"c4b59e8e-5c49-49e9-b2c8-65426266d493","D04","GUIL","GUIL","2016-11-04T16:00Z",,10,4.00,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"cc2f3e14-4268-458b-804b-9a6e104d8e5d","D04","GUIL","GUIL","2016-11-04T16:00Z",,14,6.50,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"1a57d3fc-5ba3-493b-8554-3f0a51b6655f","D04","GUIL","GUIL","2016-11-04T16:00Z",,12,4.50,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"e659bb9d-1369-4161-ac2f-864c7c2de54f","D04","GUIL","GUIL","2016-11-04T16:00Z",,28,6.35,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"19eaa765-8a9c-4934-962f-af56e39045f9","D04","GUIL","GUIL","2016-11-04T16:00Z",,15,5.15,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"e3eb02a3-732c-430f-b2f7-d8067401a8b3","D04","GUIL","GUIL","2016-11-04T16:00Z",,7,7.90,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"f6278c21-9379-4c58-b6c2-49026d58f469","D04","GUIL","GUIL","2016-11-04T16:00Z",,24,6.95,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"5cb59aae-0e5b-4d86-aa5b-a83329e0b2d1","D04","GUIL","GUIL","2016-11-04T16:00Z",,27,7.55,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
"df375661-8111-43df-9cd2-60f76ba3f1b1","D04","GUIL","GUIL","2016-11-04T16:00Z",,23,9.45,"Measured from S1 to S4 every 10 m; the 30th measurement ended 30 m US from S4."
