taxon_type_code,taxon_id,accepted_taxon_id,scientific_name,scientific_name_authorship,taxon_rank,vernacular_name,taxon_protocol_category,name_according_to_id,name_according_to_title,kingdom,subkingdom,infrakingdom,superdivision,division,subdivision,infradivision,parvdivision,superphylum,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,section,subsection,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies,variety,subvariety,form,subform,race,stirp,morph,abberation,unspecified,species_group,specific_epithet,infraspecific_epithet
FISH,ACAFLA,ACAFLA,Acanthogobius flavimanus,(Temminck & Schlegel),species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Perciformes,NA,NA,NA,NA,NA,Gobiidae,NA,NA,NA,Acanthogobius,NA,Acanthogobius flavimanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flavimanus,NA
FISH,ACAPOM,ACAPOM,Acantharchus pomotis,(Baird),species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Perciformes,NA,NA,NA,NA,NA,Centrarchidae,NA,NA,NA,Acantharchus,NA,Acantharchus pomotis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pomotis,NA
FISH,ACASP,ACASP,Acantharchus sp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=168094 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=168094, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Perciformes,NA,NA,NA,NA,NA,Centrarchidae,NA,NA,NA,Acantharchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,ACASP1,ACASP1,Acanthogobius sp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171881 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171881, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Perciformes,NA,NA,NA,NA,NA,Gobiidae,NA,NA,NA,Acanthogobius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,ACASPP,ACASPP,Acantharchus spp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=168094 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=168094, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Perciformes,NA,NA,NA,NA,NA,Centrarchidae,NA,NA,NA,Acantharchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,ACASPP1,ACASPP1,Acanthogobius spp.,NA,genus,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171881 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171881, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Perciformes,NA,NA,NA,NA,NA,Gobiidae,NA,NA,NA,Acanthogobius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,ACHSP,ACHSP,Achiridae sp.,NA,family,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=202070 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=202070, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Pleuronectiformes,NA,NA,NA,NA,NA,Achiridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sp.,NA
FISH,ACHSPP,ACHSPP,Achiridae spp.,NA,family,NA,target,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=202070 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=202070, accessed 31 Aug 2017",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Pleuronectiformes,NA,NA,NA,NA,NA,Achiridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,spp.,NA
FISH,ACIBRE,ACIBRE,Acipenser brevirostrum,Lesueur,species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,Acipenser,NA,Acipenser brevirostrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brevirostrum,NA
FISH,ACIFUL,ACIFUL,Acipenser fulvescens,Rafinesque,species,NA,target,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Animalia,NA,NA,NA,NA,NA,NA,NA,NA,Chordata,NA,NA,NA,Actinopterygii,NA,NA,NA,Acipenseriformes,NA,NA,NA,NA,NA,Acipenseridae,NA,NA,NA,Acipenser,NA,Acipenser fulvescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fulvescens,NA
