site,siteID,date,sampling_year,sampling_month
REDB_2021-04-21,REDB,2021-04-21,2021,4
TECR_2019-09-23,TECR,2019-09-23,2019,9
TECR_2021-07-27,TECR,2021-07-27,2021,7
TECR_2021-09-15,TECR,2021-09-15,2021,9
WALK_2020-07-07,WALK,2020-07-07,2020,7
WLOU_2020-07-20,WLOU,2020-07-20,2020,7
WLOU_2021-05-10,WLOU,2021-05-10,2021,5
WLOU_2021-09-20,WLOU,2021-09-20,2021,9
ARIK_2015-07-14,ARIK,2015-07-14,2015,7
ARIK_2015-09-29,ARIK,2015-09-29,2015,9
ARIK_2016-07-13,ARIK,2016-07-13,2016,7
ARIK_2016-09-19,ARIK,2016-09-19,2016,9
ARIK_2017-07-12,ARIK,2017-07-12,2017,7
ARIK_2019-07-10,ARIK,2019-07-10,2019,7
ARIK_2020-10-01,ARIK,2020-10-01,2020,10
ARIK_2021-07-13,ARIK,2021-07-13,2021,7
BIGC_2018-05-07,BIGC,2018-05-07,2018,5
BIGC_2018-07-18,BIGC,2018-07-18,2018,7
BIGC_2018-09-24,BIGC,2018-09-24,2018,9
BIGC_2019-07-17,BIGC,2019-07-17,2019,7
BIGC_2019-10-01,BIGC,2019-10-01,2019,10
BIGC_2021-07-12,BIGC,2021-07-12,2021,7
BLDE_2018-05-02,BLDE,2018-05-02,2018,5
BLDE_2021-07-26,BLDE,2021-07-26,2021,7
BLUE_2017-03-13,BLUE,2017-03-13,2017,3
BLUE_2017-07-12,BLUE,2017-07-12,2017,7
BLUE_2017-10-17,BLUE,2017-10-17,2017,10
BLUE_2018-03-12,BLUE,2018-03-12,2018,3
BLUE_2018-07-10,BLUE,2018-07-10,2018,7
BLUE_2018-11-06,BLUE,2018-11-06,2018,11
BLUE_2019-03-11,BLUE,2019-03-11,2019,3
BLUE_2019-07-09,BLUE,2019-07-09,2019,7
BLUE_2019-10-09,BLUE,2019-10-09,2019,10
BLUE_2021-04-01,BLUE,2021-04-01,2021,4
BLUE_2021-07-01,BLUE,2021-07-01,2021,7
BLUE_2021-10-14,BLUE,2021-10-14,2021,10
COMO_2017-08-30,COMO,2017-08-30,2017,8
CUPE_2016-06-22,CUPE,2016-06-22,2016,6
CUPE_2017-01-25,CUPE,2017-01-25,2017,1
CUPE_2017-06-28,CUPE,2017-06-28,2017,6
CUPE_2017-11-14,CUPE,2017-11-14,2017,11
CUPE_2018-01-23,CUPE,2018-01-23,2018,1
CUPE_2019-01-22,CUPE,2019-01-22,2019,1
CUPE_2019-06-18,CUPE,2019-06-18,2019,6
CUPE_2021-01-25,CUPE,2021-01-25,2021,1
CUPE_2022-01-26,CUPE,2022-01-26,2022,1
GUIL_2016-02-02,GUIL,2016-02-02,2016,2
GUIL_2017-01-31,GUIL,2017-01-31,2017,1
GUIL_2017-06-21,GUIL,2017-06-21,2017,6
GUIL_2018-01-30,GUIL,2018-01-30,2018,1
GUIL_2018-07-03,GUIL,2018-07-03,2018,7
GUIL_2018-11-13,GUIL,2018-11-13,2018,11
GUIL_2019-01-28,GUIL,2019-01-28,2019,1
GUIL_2020-02-26,GUIL,2020-02-26,2020,2
GUIL_2020-11-18,GUIL,2020-11-18,2020,11
GUIL_2021-02-03,GUIL,2021-02-03,2021,2
GUIL_2021-06-29,GUIL,2021-06-29,2021,6
GUIL_2022-02-01,GUIL,2022-02-01,2022,2
KING_2016-10-05,KING,2016-10-05,2016,10
KING_2017-07-14,KING,2017-07-14,2017,7
KING_2019-07-12,KING,2019-07-12,2019,7
KING_2020-07-20,KING,2020-07-20,2020,7
KING_2020-09-29,KING,2020-09-29,2020,9
KING_2022-03-22,KING,2022-03-22,2022,3
KING_2015-07-06,KING,2015-07-06,2015,7
LECO_2015-08-11,LECO,2015-08-11,2015,8
LECO_2019-03-26,LECO,2019-03-26,2019,3
LECO_2021-10-18,LECO,2021-10-18,2021,10
LEWI_2017-03-24,LEWI,2017-03-24,2017,3
LEWI_2017-11-06,LEWI,2017-11-06,2017,11
LEWI_2018-03-23,LEWI,2018-03-23,2018,3
LEWI_2019-03-19,LEWI,2019-03-19,2019,3
LEWI_2019-07-22,LEWI,2019-07-22,2019,7
LEWI_2021-03-25,LEWI,2021-03-25,2021,3
LEWI_2021-07-27,LEWI,2021-07-27,2021,7
LEWI_2021-11-01,LEWI,2021-11-01,2021,11
LEWI_2022-03-28,LEWI,2022-03-28,2022,3
MART_2021-07-28,MART,2021-07-28,2021,7
MAYF_2015-06-29,MAYF,2015-06-29,2015,6
MAYF_2015-11-16,MAYF,2015-11-16,2015,11
MAYF_2016-03-21,MAYF,2016-03-21,2016,3
MAYF_2016-06-29,MAYF,2016-06-29,2016,6
MAYF_2016-10-24,MAYF,2016-10-24,2016,10
MAYF_2017-07-18,MAYF,2017-07-18,2017,7
MAYF_2018-03-26,MAYF,2018-03-26,2018,3
MAYF_2018-07-26,MAYF,2018-07-26,2018,7
MAYF_2018-10-29,MAYF,2018-10-29,2018,10
MAYF_2019-03-11,MAYF,2019-03-11,2019,3
MAYF_2021-03-15,MAYF,2021-03-15,2021,3
MAYF_2021-07-21,MAYF,2021-07-21,2021,7
MAYF_2021-10-18,MAYF,2021-10-18,2021,10
MCDI_2017-03-28,MCDI,2017-03-28,2017,3
MCDI_2017-07-07,MCDI,2017-07-07,2017,7
MCDI_2017-10-06,MCDI,2017-10-06,2017,10
MCDI_2018-07-11,MCDI,2018-07-11,2018,7
MCDI_2018-10-03,MCDI,2018-10-03,2018,10
MCDI_2019-04-05,MCDI,2019-04-05,2019,4
MCDI_2019-07-10,MCDI,2019-07-10,2019,7
MCDI_2020-06-05,MCDI,2020-06-05,2020,6
MCDI_2020-07-21,MCDI,2020-07-21,2020,7
MCDI_2020-09-30,MCDI,2020-09-30,2020,9
MCDI_2021-03-26,MCDI,2021-03-26,2021,3
MCDI_2022-03-28,MCDI,2022-03-28,2022,3
MCRA_2017-08-01,MCRA,2017-08-01,2017,8
MCRA_2017-09-25,MCRA,2017-09-25,2017,9
MCRA_2018-07-23,MCRA,2018-07-23,2018,7
MCRA_2021-07-27,MCRA,2021-07-27,2021,7
OKSR_2018-07-09,OKSR,2018-07-09,2018,7
OKSR_2018-08-15,OKSR,2018-08-15,2018,8
OKSR_2021-07-02,OKSR,2021-07-02,2021,7
POSE_2014-07-22,POSE,2014-07-22,2014,7
POSE_2014-10-28,POSE,2014-10-28,2014,10
POSE_2015-03-30,POSE,2015-03-30,2015,3
POSE_2015-07-21,POSE,2015-07-21,2015,7
POSE_2015-10-21,POSE,2015-10-21,2015,10
POSE_2016-07-18,POSE,2016-07-18,2016,7
POSE_2017-03-17,POSE,2017-03-17,2017,3
POSE_2017-07-17,POSE,2017-07-17,2017,7
POSE_2017-10-23,POSE,2017-10-23,2017,10
POSE_2018-03-16,POSE,2018-03-16,2018,3
POSE_2018-07-16,POSE,2018-07-16,2018,7
POSE_2018-11-05,POSE,2018-11-05,2018,11
POSE_2019-03-26,POSE,2019-03-26,2019,3
POSE_2019-07-15,POSE,2019-07-15,2019,7
POSE_2019-11-04,POSE,2019-11-04,2019,11
POSE_2020-07-07,POSE,2020-07-07,2020,7
POSE_2020-11-03,POSE,2020-11-03,2020,11
POSE_2021-03-18,POSE,2021-03-18,2021,3
POSE_2021-10-18,POSE,2021-10-18,2021,10
POSE_2022-03-21,POSE,2022-03-21,2022,3
PRIN_2016-07-28,PRIN,2016-07-28,2016,7
PRIN_2016-10-25,PRIN,2016-10-25,2016,10
PRIN_2017-02-20,PRIN,2017-02-20,2017,2
PRIN_2017-07-03,PRIN,2017-07-03,2017,7
PRIN_2017-10-23,PRIN,2017-10-23,2017,10
PRIN_2018-02-19,PRIN,2018-02-19,2018,2
PRIN_2018-10-30,PRIN,2018-10-30,2018,10
PRIN_2019-02-19,PRIN,2019-02-19,2019,2
PRIN_2019-07-02,PRIN,2019-07-02,2019,7
