uid,domainID,siteID,namedLocation,decimalLatitude,decimalLongitude,coordinateUncertainty,geodeticDatum,elevation,elevationUncertainty,aquaticSiteType,collectDate,eventID,boutNumber,sampleID,sampleCode,geneticSampleID,geneticSampleCode,samplingProtocolVersion,samplingImpractical,biophysicalCriteria,habitatType,samplerType,sampleNumber,substratumSizeClass,benthicArea,ponarDepth,snagLength,snagDiameter,dnaSnagLength,dnaSnagDiameter,remarks,recordedBy,collectedBy,dataQF
"eca34ec6-d79a-4e2b-92b6-8fca2cd832cb","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-02T16:19Z","SYCA.20190402",2,"SYCA.20190402.SURBER.5","A00000055392",,,"NEON.DOC.003046vC",,,"run","surber",5,"sand",0.093,,,,,,"samples re-collected at a later date","0000-0003-4652-8516","0000-0001-8362-7797",
"4635fd04-3d38-4e76-93f1-14993575b765","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-02T16:19Z","SYCA.20190402",2,"SYCA.20190402.SURBER.7","A00000055444","SYCA.20190402.SURBER.7.DNA","A00000055440","NEON.DOC.003046vC",,,"run","surber",7,"sand",0.093,,,,,,"samples re-collected at a later date","0000-0003-4652-8516","0000-0001-8362-7797",
"3cf55b02-6036-45f3-9152-d3ffbcc4c4ca","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-02T16:19Z","SYCA.20190402",2,"SYCA.20190402.SURBER.1","A00000055426","SYCA.20190402.SURBER.1.DNA","A00000055438","NEON.DOC.003046vC",,,"riffle","surber",1,"pebble",0.093,,,,,,"samples re-collected at a later date","0000-0003-4652-8516","0000-0001-8362-7797",
"dc8bc6da-035b-4841-8539-c3a1cd2be74d","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-02T16:19Z","SYCA.20190402",2,"SYCA.20190402.SURBER.3","A00000055442",,,"NEON.DOC.003046vC",,,"run","surber",3,"pebble",0.093,,,,,,"samples re-collected at a later date","0000-0003-4652-8516","0000-0001-8362-7797",
"f07dcb99-f574-4ada-8901-15af04e7fd66","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-02T16:19Z","SYCA.20190402",2,"SYCA.20190402.CORE.8","A00000055441",,,"NEON.DOC.003046vC",,,"run","core",8,"silt",0.006,,,,,,"samples re-collected at a later date","0000-0003-4652-8516","0000-0001-8362-7797",
"3341cefc-32ac-4091-834a-e28c2d6712db","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-02T16:19Z","SYCA.20190402",2,"SYCA.20190402.SURBER.6","A00000055443",,,"NEON.DOC.003046vC",,,"run","surber",6,"sand",0.093,,,,,,"samples re-collected at a later date","0000-0003-4652-8516","0000-0001-8362-7797",
"f02e5968-aaa3-4bec-b2d6-2d3d0c63c658","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-02T16:19Z","SYCA.20190402",2,"SYCA.20190402.SURBER.4","A00000055375",,,"NEON.DOC.003046vC",,,"run","surber",4,"pebble",0.093,,,,,,"samples re-collected at a later date","0000-0003-4652-8516","0000-0001-8362-7797",
"d572684f-e9ce-487d-9589-2c9e71a8364a","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-02T16:19Z","SYCA.20190402",2,"SYCA.20190402.CORE.2","A00000055409","SYCA.20190402.CORE.2.DNA","A00000055439","NEON.DOC.003046vC",,,"run","core",2,"silt",0.006,,,,,,"samples re-collected at a later date","0000-0003-4652-8516","0000-0001-8362-7797",
"ab646d08-8a0e-4522-8236-5e87257f2b20","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-18T15:41Z","SYCA.20190418",2,"SYCA.20190418.SURBER.2","A00000094063","SYCA.20190418.SURBER.2.DNA","A00000094064","NEON.DOC.003046vC",,,"riffle","surber",2,"cobble",0.093,,,,,,,"0000-0003-4652-8516","0000-0001-8362-7797",
"1ed9ce14-b1c8-46b5-8293-e301ad7c9712","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-18T15:41Z","SYCA.20190418",2,"SYCA.20190418.SURBER.4","A00000094062","SYCA.20190418.SURBER.4.DNA","A00000094045","NEON.DOC.003046vC",,,"riffle","surber",4,"pebble",0.093,,,,,,,"0000-0003-4652-8516","0000-0001-8362-7797",
"ae5c6371-bdee-4415-a7ca-5f587713c88c","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-18T15:41Z","SYCA.20190418",2,"SYCA.20190418.SURBER.5","A00000094044",,,"NEON.DOC.003046vC",,,"riffle","surber",5,"pebble",0.093,,,,,,,"0000-0003-4652-8516","0000-0001-8362-7797",
"5ad17304-101f-4717-bc66-f7aa4b330c4e","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-18T15:41Z","SYCA.20190418",2,"SYCA.20190418.CORE.2","A00000094061",,,"NEON.DOC.003046vC",,,"pool","core",2,"silt",0.006,,,,,,,"0000-0003-4652-8516","0000-0001-8362-7797",
"f895f10d-da0c-40ad-be82-81faf1dc135f","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-18T15:41Z","SYCA.20190418",2,"SYCA.20190418.SURBER.1","A00000094047","SYCA.20190418.SURBER.1.DNA","A00000094048","NEON.DOC.003046vC",,,"riffle","surber",1,"pebble",0.093,,,,,,,"0000-0003-4652-8516","0000-0001-8362-7797",
"818f5832-7fe5-4fa2-a6d8-63d6af4a63f2","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-18T15:41Z","SYCA.20190418",2,"SYCA.20190418.CORE.1","A00000094065",,,"NEON.DOC.003046vC",,,"pool","core",1,"silt",0.006,,,,,,,"0000-0003-4652-8516","0000-0001-8362-7797",
"e6686f72-916c-44b0-9384-393b49f5ce9d","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-18T15:41Z","SYCA.20190418",2,"SYCA.20190418.SURBER.3","A00000094060",,,"NEON.DOC.003046vC",,,"riffle","surber",3,"cobble",0.093,,,,,,,"0000-0003-4652-8516","0000-0001-8362-7797",
"f4369c52-cd3a-4f33-bc89-c11e2e124062","D14","SYCA","SYCA.AOS.reach",33.750993,-111.508091,1000.0,"WGS84",645.0,1000.0,"stream","2019-04-18T15:41Z","SYCA.20190418",2,"SYCA.20190418.CORE.3","A00000094043",,,"NEON.DOC.003046vC",,,"pool","core",3,"silt",0.006,,,,,,,"0000-0003-4652-8516","0000-0001-8362-7797",
